Location Name,ISBN,Title Author Combined and Normalized,Title (Complete),Author,Publisher,Publication Date,Subjects,520 - Local Param 03,Permanent LC Classification Code,Process Type,Edition,Language Code,title_cn,category_cn
4F Book Collection,0226842746; 9780226842745; 0226842819; 9780226842813; 9780226842769; 0226842762,politics of common reading vernacular knowledge and everyday technics in china 1894 1954 - judg,"The politics of common reading : vernacular knowledge and everyday technics in China, 1894-1954 / Joan Judge.","Judge, Joan, 1958- author.",The University of Chicago Press,2025.,Commonplace books--China--History--19th century.; Commonplace books--China--History--20th century.; Books and reading--China--History--19th century.; Books and reading--China--History--20th century.; Publishers and publishing--China--History--19th century.; Publishers and publishing--China--History--20th century.; Community publishing--China--History--19th century.; Community publishing--China--History--20th century.,"""Examines the transformation of vernacular knowledge during a pivotal period of modern Chinese history, 1894 to 1954. In The Politics of Common Reading, Joan Judge examines an era of modern Chinese history, ranging from 1894 to 1954, which she terms ""the long Republic."" During this era, she explains, editors and compilers accommodated the needs of common readers by secularizing and standardizing texts relating to health, technology, and agriculture, including handbooks and recipe collections. Based on detailed research, she argues that these texts were quietly revolutionary in liberating common readers from state structures that sought to transform them while offering them practical knowledge, technical know-how, and tools for self-improvement. Judge examines an understudied corpus of 500 how-to texts alongside government documents, archival materials, newspapers and periodicals, fiction and other media. She brings to life the way these books were published and circulated through a national network, urban and rural bookstalls, and mail order channels. She examines how these collections were compiled, reassembled, and repurposed, and how they experimented with visual strategies to help readers process and memorize new information. She focuses on the kind of vernacular knowledge these publications promulgated across a series of domains-opium addiction, electricity, cholera infection, and horticulture. Finally, she devises composites of individual knowers so that we can better know them: details of the crises they faced, the remedies they tried, and the texts they might have consulted. She ultimately argues that the acts of conciliation these readers engaged in shaped the broader epistemic terrain from which historical change was actualized in China's century of revolution""-- Provided by publisher.",Z,None,,eng,共同阅读的政治：中国本土知识与日常技术，1894-1954,阅读史; 出版史; 中国近代史
4F Book Collection,0262048051; 9780262048057; 9780262551014; 0262551012; 9780262374262; 0262374269; 9780262374255; 0262374250,invention and innovation a brief history of hype and failure - smil,Invention and innovation : a brief history of hype and failure / Vaclav Smil.,"Smil, Vaclav, author.",The MIT Press,[2023],Inventions--Defects--History--Popular works.; System failures (Engineering)--History.; New products--History.; Errors--History.; TECHNOLOGY & ENGINEERING / General.; Errors.; New products.; System failures (Engineering); Technological forecasting.; History.; Popular works.,"""Smil presents the long history and modern infatuation with invention and innovation. Meticulous as always, these vast realms of human ingenuity are organized into sensible categories: inventions that went from welcome to undesirable, inventions that dominate and missed the mark, inventions we still dream about, and lastly, the exaggerations, myths, and wise expectations for innovations we need most""-- Provided by publisher.",T,None,,eng,发明与创新：炒作与失败的简史,技术史; 创新研究; 工程失败
4F Book Collection,0262048973; 9780262048972; 9780262378666; 0262378663; 9780262378673; 0262378671,foundations of computer vision - torr,"Foundations of computer vision / Antonio Torralba, Phillip Isola, and William T. Freeman.","Torralba, Antonio, author.",The MIT Press,[2024],Computer vision.,"""An up-to-date computer vision textbook incorporating the latest deep learning advances that have revolutionized the field over the last decade""-- Provided by publisher.",TA,None,,eng,计算机视觉基础,计算机视觉; 人工智能
4F Book Collection,0300263953; 9780300263954,untimely moderns how twentieth century architecture reimagined the past - pelk,Untimely moderns : how twentieth-century architecture reimagined the past / Eeva-Liisa Pelkonen.,"Pelkonen, Eeva-Liisa, author.",Yale University Press,[2023],Yale University--Buildings.; Architecture--Philosophy.; Time--Philosophy.; Time perception.; Architectural practice.; Architecture and history.; Architecture--United States--History--20th century.; Modern movement (Architecture),"""Through much of the twentieth century, a diverse group of thinkers engaged in an interdisciplinary conversation about the meaning of time and history for modern art and architecture. The group included architects Louis Kahn, Everett Victor Meeks, James Gamble Rogers, Paul Rudolph, and Eero Saarinen; artists Anni and Josef Albers; philosopher Paul Weiss; and art historians Henri Focillon, George Kubler, Sibyl Moholy-Nagy, and Vincent Scully. These figures were unified by their resistance to the idea that, to be considered modern, art and architecture had to be of its time, as well as by the pivotal role that Yale University held as a backdrop to their thinking.  These thinkers sponsored a new kind of approach, one that Eeva-Liisa Pelkonen terms 'untimely,' emphasizing a departure from a sequential course of events. Ideas about temporal duration, new tradition, the presence of the past, and the shape of time were among the concepts they explored. With an interdisciplinary focus, Pelkonen reveals previously unexplored connections among key figures of American intellectual and artistic culture at midcentury whose works and words would shape modern architecture"" -- Dust jacket.",NA,None,,eng,不合时宜的现代：二十世纪建筑如何重塑过去,建筑史; 建筑哲学; 现代主义建筑
4F Book Collection,030027274X; 9780300272741; 9780300283518; 0300283512,we computers a ghazal novel - isma,We computers : a ghazal novel / Hamid Ismailov ; translated from the Uzbek by Shelley Fairweather-Vega.,"Ismailov, Hamid, 1954- author",Yale University Press,[2025],"Poets, French--Fiction; Computers--Fiction; Persian poetry--Fiction; Translators--Fiction; Artificial intelligence--Fiction; Ghazals--Fiction","""In the late 1980s, French poet and psychologist Jon-Perse finds himself in possession of one of the most promising inventions of the century: a computer. Enchanted by snippets of Persian poetry he learns from his Uzbek translation partner, Abdulhamid Ismail, Jon-Perse builds a computer program capable of both analyzing and generating literature. But beyond the text on his screen there are entire worlds--of history, philosophy, and maybe even of love--in the stories and people he and AI conjure. Hamid Ismailov brings together his work as a poet, translator, and student of literature of both East and West to craft a postmodern ode to poetry across centuries and continents. Crossing the poètes maudits with beloved Sufi classics, blending absurdist dreams with the life of the famed Persian poet Hafez, moving from careful mathematical calculations to lyrical narratives, Ismailov invents an ingenious transnational poetics of love and longing for the digital age. Situated at the crossroads of a multilingual world and mediated by the unreliable sensibilities of digital intelligence, this book is a dazzling celebration of how poetry resonates across time and space.""--Page 4 of cover.",PG,None,,eng,我们计算机：一部加扎尔小说,小说; 人工智能; 乌兹别克文学
4F Book Collection,0300281862; 9780300281866; 030024892X; 9780300248920; 9780300277180; 0300277180,spinoza freedom s messiah - buru,Spinoza : freedom's messiah / Ian Buruma.,"Buruma, Ian, author.",Yale University Press,[2024],"Spinoza, Benedictus de,--1632-1677.; Spinoza, Benedictus de,--1632-1677--Influence.; Spinoza, Benedictus de,--1632-1677--Political and social views.; Philosophers--Netherlands--Biography.","Ian Buruma explores the life and death of Baruch Spinoza, the Enlightenment thinker whose belief in freedom of thought and speech resonates in our own time.",B,None,,eng,斯宾诺莎：自由的弥赛亚,哲学家传记; 斯宾诺莎; 哲学史
4F Book Collection,0357767543; 9780357767542,learning about immigration law - scar,Learning about immigration law / Constantinos E. Scaros.,"Scaros, Constantinos E., author.",Cengage,[2024],Emigration and immigration law--United States.; Noncitizens--United States.; Terrorism--United States--Prevention.; United States--Emigration and immigration--Government policy.; United States,"""LEARNING ABOUT IMMIGRATION LAW, Fourth Edition, is the most up-to-date immigration law text available, accounting for all of the extensive legal changes since September 11, 2001. In addition to detailed coverage of the essential knowledge, processes and tools legal professionals need to master immigration law, the text includes numerous real-life examples to make the material come alive for readers. The new edition features updated information on recent trends and developments, advice on discussing controversial immigration-related issues and a valuable guide to studying for the U.S. citizenship exam. Despite its comprehensive content, this trusted text is reader-friendly and engaging, making it approachable whether you're a legal professional or someone with no formal knowledge of the law who simply wants to help a friend, neighbor or family member with questions or concerns about immigration law. The author assumes no previous knowledge, drawing on his decades of professional experience to deliver an accessible, practical instruction manual on modern immigration law."" -- Amazon",KF,None,Fourth edition.,eng,移民法入门,移民法; 美国法律; 移民政策
4F Book Collection,0357797469; 9780357797464; 9780534365448; 0534365442,psychology and the legal system - wrig,"Psychology and the legal system / Lawrence S. Wrightsman, Kirk Heilbrun, Eddie Greene, Amy-Bradfield Douglass.","Wrightsman, Lawrence S, author.",Cengage Learning,[2024],"Justice, Administration of--United States--Psychological aspects.; Practice of law--United States--Psychological aspects.; Forensic psychology.","""The text examines the legal system through the use of psychological concepts, methods, and research results. It considers such topics as competence to stand trial, pre-trial publicity and resulting changes in venue, criminal profiling, civil case law and civil procedures, the rights of children, capital punishment, the psychology of criminal trials, the insanity defence, expert forensic testimony, and analysis of eyewitness identifications""-- Provided by publisher.",KF,None,Tenth edition.,eng,心理学与法律体系,司法心理学; 法律心理学; 法庭心理学
4F Book Collection,0357976428; 9780357976425; 9798214046679,college physics - serw,"College physics / Raymond A. Serway, Chris Vuille, John Hughes.","Serway, Raymond A., author.",Cengage,[2025],Physics--Textbooks.; Physics.; Physique.; physics.; Textbooks.,"""College Physics is written for a one-year course in introductory physics usually taken by students majoring in biology, the health professions, or other disciplines, including environmental, earth, and social sciences, and technical fields such as architecture.  The mathematical techniques used in this book include algebra, geometry, and trigonometry, but not calculus.""--Preface.",QC,None,Edition 12.,eng,大学物理,物理学; 大学教材
4F Book Collection,0393292592; 9780393292596,tequila wars jose cuervo and the bloody struggle for the spirit of mexico - geno,Tequila wars : Jo?e Cuervo and the bloody struggle for the spirit of Mexico / Ted Genoways.,"Genoways, Ted, author.",WW Norton & Company,[2025],"Flores, Jo?e,--1869-1921.; Jose Cuervo (Firm)--History.; Tequila industry--Mexico--Biography.; Tequila industry--Mexico--History.; Family-owned business enterprises--Mexico.; Biographies.","A revelatory history of the vast tequila empire born from the fires of the Mexican Revolution. At the dawn of the twentieth century, Jo?e Cuervo inherited his family's humble distillery, La Roj?na, in the Tequila Valley. Within a decade, he had transformed it into a complex national enterprise that would become Mexico's leading producer of tequila. Cuervo grew his kingdom of agave by acquiring thousands of acres of estates throughout the valley; he brought electricity and a railroad line to Tequila, so he could reach drinkers across the country. But when the Mexican Revolution erupted, a charge of treason and a death threat against him by Pancho Villa forced Cuervo to flee. His disappearance turned him into an obscure, shadowy historical figure--despite having one of the most famous names in Mexican history.",HD,None,First edition.,eng,龙舌兰战争：何塞·库尔沃与墨西哥烈酒的血腥争夺,龙舌兰酒业; 墨西哥历史; 家族企业
4F Book Collection,0393541657; 9780393541656,long ago a novel - mcga,The long ago : a novel / Michael McGarrity.,"McGarrity, Michael, author.",WW Norton & Company,[2023],"Soldiers--Fiction.; Sisters--Fiction.; Missing persons--Fiction.; Siblings--Fiction.; Vietnam War, 1961-1975--Veterans--Fiction.","Returning home from Vietnam when his sister goes missing, soldier Ray Landsdale embarks on a relentless search that takes him from Montana to Hollywood to L.A. and beyond, forcing him to confront his worst nightmare.; Growing up in Montana, siblings Raymond and Barbara Lansdale held their chaotic world together through their shared childhood fantasy of The Long Ago: a distant place where happiness and tranquility reigned, far from the dysfunction at home. But imagination only goes so far. To escape his painful past, Ray joins the army and finds a career that gives him a sense of purpose and the promise of adventure.  Recent news of his kid sister's disappearance brings Ray home on leave before beginning a stateside assignment almost certain to send him back into the jungles of Vietnam. Determined to find Barbara despite a police investigation that has led nowhere, Ray embarks on a relentless search that takes him from the majestic Montana ranchlands and glitter of Hollywood to the mean streets of L.A. and beyond. As time dwindles, he must confront his worst nightmare. What if Barbara's search for The Long Ago ended in a shallow, unmarked grave, not in the carefree life she'd once so longed for and imagined?  A spin-off from McGarrity's nationally best-selling Kevin Kerney family saga, The Long Ago is a richly crafted and enthralling story of grit, determination, and the enduring, restorative strength of love. --provided by publisher.",PS,None,First edition.,eng,遥远的往昔：一部小说,小说; 战争小说; 家庭关系
4F Book Collection,039354169X; 9780393541694; 9780393541700; 0393541703,food of southern thailand - bush,The food of Southern Thailand / written and photographed by Austin Bush ; illustrations by Candice Lin.,"Bush, Austin, author.",WW Norton & Company,[2024],"Cooking, Thai.; Cooking--Thailand.","""From the author of The Food of Northern Thailand, a beautiful guide to the culture and cuisine of Thailand's south, featuring the region's quintessential recipes: spicy noodles, coconut curries, and seafood dishes.""--Back cover.; ""In lush photographs and helpful step-by-step illustrations, Austin explores, bite by bite, the mouthwatering offerings of roadside stalls and tiny island restaurants. His detailed recipes feature the region's most beloved dishes, including a variation on a classic tart, spicy soup with vegetables and fish, Hat Yai-Style Fried Chicken with Sticky Rice (served with a tangy dipping sauce), and Minced Kingfish Stir-Fried in a Spicy Herb Paste. Sweets from the region are unique, often wrapped in banana leaves and filled or dusted with local palm sugar: fragrant cashew brittle, crispy fritters, warm coconut pancakes.""--Amazon.com.",TX,None,First edition.,eng,泰国南部美食,烹饪; 泰国菜
4F Book Collection,0393881261; 9780393881264; 9780393881271; 039388127X,american visions the united states 1800 1860 - ayer,"American visions : the United States, 1800-1860 / Edward L. Ayers.","Ayers, Edward L., 1953- author.",WW Norton & Company,[2023],"Slavery--United States--History; United States--History--Civil War, 1861-1865; United States--History--1801-1809; United States--History--1809-1817; United States--History--1815-1861","A revealing history of the formative period when voices of dissent and innovation defied power and created visions of America still resonant today.; The early decades of the nineteenth century saw the expansion of slavery, Native dispossession, and wars with Canada and Mexico. Mass immigration and powerful religious movements sent tremors through American society. Even as the powerful defended the status quo, others defied it: voices from the margins moved the center; eccentric visions altered the accepted wisdom, and acts of empathy questioned self-interest. Ayers examines the visions that moved Frederick Douglass, Margaret Fuller, the Native American activist William Apess, and others to challenge entrenched practices and beliefs. He shows that the years from 1800 to 1860 was a period when bold visionaries and critics built vigorous traditions of dissent and innovation into the foundation of the nation. Those traditions remain alive for us today. -- adapted from jacket",E,None,First edition.,eng,美国愿景：1800-1860年的美国,美国历史; 奴隶制; 内战史
4F Book Collection,0393881660; 9780393881660,key to the city how zoning shapes our world - bron,Key to the city : how zoning shapes our world / Sara C. Bronin.,"Bronin, Sara C., author.",W W Norton & Company,[2024],Zoning--United States.; City planning--United States--Citizen participation.; City planning--Environmental aspects.; City planning--Citizen participation.; Zoning.,"""Legal scholar and architect Sara C. Bronin examines how zoning became such a prevailing force and reveals its impact--and its potential for good. Outdated zoning codes have maintained racial segregation, prioritized cars over people, and enabled great ecological harm. But, as Bronin argues, once we recognize the power of zoning, we can harness it to create the communities we desire, and deserve. Drawing on her own experience leading the overhaul of Hartford's zoning code and exploring the efforts of activists and city planners across the country, Bronin shows how new codes are reshaping our cities--from Baltimore to Chicago, Las Vegas to Minneapolis, and beyond. In Boston, a law fought for by a passionate group of organizers, farmers, and beekeepers is transforming the city into a haven for urban farming. In Tucson, zoning codes are mitigating the impacts of climate change and drought-proofing neighborhoods in peril. In Delray Beach, Florida, a new code aims to capture and maintain the town's colorful spirit through its architecture""-- Provided by publisher.",HD,None,First edition.,eng,城市之钥：分区如何塑造我们的世界,城市规划; 土地分区; 公民参与
4F Book Collection,0393882349; 9780393882346,transient and strange notes on the science of life - gree,Transient and strange : notes on the science of life / Nell Greenfieldboyce.,"Greenfieldboyce, Nell, author.",WW Norton & Company,[2024],"Greenfieldboyce, Nell.; Science--Philosophy.; Science--Moral and ethical aspects.; Science--Social aspects.; Popular science; Natural history - general; Literature","An astonishing debut from the beloved NPR science correspondent: intimate essays about the intersection of science and everyday life. In her career as a science reporter, Nell Greenfieldboyce has reported from inside a space shuttle, the bottom of a coal mine, and the control room of a particle collider; she's presented news on the color of dinosaur eggs, ice worms that live on mountaintop glaciers, and signs of life on Venus. In this, her debut book, she delivers a wholly original collection of powerful, emotionally raw, and unforgettable personal essays that probe the places where science touches our lives most intimately. Expertly weaving her own experiences of motherhood and marriage with an almost devotional attention to the natural world, Greenfieldboyce grapples with the weighty dualities of life: birth and death, constancy and impermanence, memory and doubt, love and aging. She looks for a connection to the universe by embarking on a search for the otherworldly glint of a micrometeorite in the dust, consults meteorologists and storm chasers on the eerie power of tornadoes to soothe her children's anxieties, and processes her adolescent oblivion through the startling discovery of black holes. Inspired throughout by Walt Whitman's invocation to the ""transient and strange,"" she remains attuned to the wildest workings of our world, reflecting on the incredible leap of the humble flea or the echoing truth of a fetal heartbeat. A beautiful blend of explanatory science, original reporting, and personal experience, Transient and Strange captures the ache of ordinary life, offering resonant insights into both the world around us and the worlds within us.",Q,None,First edition.,eng,短暂与奇异：生命科学笔记,科学哲学; 科学社会学; 自然科学
